id,created_at,favorite_count,favorited,is_quote_status,lang,retweet_count,source,text,truncated,entities_user_mentions_0_screen_name,entities_user_mentions_0_name,entities_user_mentions_0_id,entities_user_mentions_0_id_str,entities_user_mentions_0_indices_0,entities_user_mentions_0_indices_1,entities_user_mentions_1_screen_name,entities_user_mentions_1_name,entities_user_mentions_1_id,entities_user_mentions_1_id_str,entities_user_mentions_1_indices_0,entities_user_mentions_1_indices_1,entities_media_0_id,entities_media_0_id_str,entities_media_0_indices_0,entities_media_0_indices_1,entities_media_0_media_url,entities_media_0_media_url_https,entities_media_0_url,entities_media_0_display_url,entities_media_0_expanded_url,entities_media_0_type,entities_media_0_sizes_thumb_w,entities_media_0_sizes_thumb_h,entities_media_0_sizes_thumb_resize,entities_media_0_sizes_medium_w,entities_media_0_sizes_medium_h,entities_media_0_sizes_medium_resize,entities_media_0_sizes_small_w,entities_media_0_sizes_small_h,entities_media_0_sizes_small_resize,entities_media_0_sizes_large_w,entities_media_0_sizes_large_h,entities_media_0_sizes_large_resize,entities_media_0_source_status_id,entities_media_0_source_status_id_str,entities_media_0_source_user_id,entities_media_0_source_user_id_str,entities_user_mentions_2_screen_name,entities_user_mentions_2_name,entities_user_mentions_2_id,entities_user_mentions_2_id_str,entities_user_mentions_2_indices_0,entities_user_mentions_2_indices_1,entities_user_mentions_3_screen_name,entities_user_mentions_3_name,entities_user_mentions_3_id,entities_user_mentions_3_id_str,entities_user_mentions_3_indices_0,entities_user_mentions_3_indices_1,entities_urls_0_url,entities_urls_0_expanded_url,entities_urls_0_display_url,entities_urls_0_indices_0,entities_urls_0_indices_1,entities_hashtags_0_text,entities_hashtags_0_indices_0,entities_hashtags_0_indices_1,entities_hashtags_1_text,entities_hashtags_1_indices_0,entities_hashtags_1_indices_1,entities_user_mentions_4_screen_name,entities_user_mentions_4_name,entities_user_mentions_4_id,entities_user_mentions_4_id_str,entities_user_mentions_4_indices_0,entities_user_mentions_4_indices_1,entities_user_mentions_5_screen_name,entities_user_mentions_5_name,entities_user_mentions_5_id,entities_user_mentions_5_id_str,entities_user_mentions_5_indices_0,entities_user_mentions_5_indices_1,entities_user_mentions_6_screen_name,entities_user_mentions_6_name,entities_user_mentions_6_id,entities_user_mentions_6_id_str,entities_user_mentions_6_indices_0,entities_user_mentions_6_indices_1,entities_user_mentions_7_screen_name,entities_user_mentions_7_name,entities_user_mentions_7_id,entities_user_mentions_7_id_str,entities_user_mentions_7_indices_0,entities_user_mentions_7_indices_1,entities_urls_1_url,entities_urls_1_expanded_url,entities_urls_1_display_url,entities_urls_1_indices_0,entities_urls_1_indices_1,entities_hashtags_2_text,entities_hashtags_2_indices_0,entities_hashtags_2_indices_1,entities_hashtags_3_text,entities_hashtags_3_indices_0,entities_hashtags_3_indices_1,entities_hashtags_4_text,entities_hashtags_4_indices_0,entities_hashtags_4_indices_1,entities_hashtags_5_text,entities_hashtags_5_indices_0,entities_hashtags_5_indices_1,entities_hashtags_6_text,entities_hashtags_6_indices_0,entities_hashtags_6_indices_1,entities_hashtags_7_text,entities_hashtags_7_indices_0,entities_hashtags_7_indices_1,entities_hashtags_8_text,entities_hashtags_8_indices_0,entities_hashtags_8_indices_1,entities_hashtags_9_text,entities_hashtags_9_indices_0,entities_hashtags_9_indices_1,entities_hashtags_10_text,entities_hashtags_10_indices_0,entities_hashtags_10_indices_1,entities_hashtags_11_text,entities_hashtags_11_indices_0,entities_hashtags_11_indices_1
1.64e+18,Fri Apr 07 20:16:57 +0000 2023,0,False,False,en,218,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TexasFootball: Had the whole offense hyped (even Bijan)

@RedSavion https://t.co/qzaalwYHj5",False,TexasFootball,Texas Football,34286487.0,34286487,3.0,17.0,RedSavion,Savion Red,9.696527364374241e+17,969652736437424131,61.0,71.0,1.6444253277231268e+18,1644425327723126784,72.0,95.0,http://pbs.twimg.com/ext_tw_video_thumb/1644425327723126784/pu/img/waEBtCFBT2HufFby.jpg,https://pbs.twimg.com/ext_tw_video_thumb/1644425327723126784/pu/img/waEBtCFBT2HufFby.jpg,https://t.co/qzaalwYHj5,pic.twitter.com/qzaalwYHj5,https://twitter.com/TexasFootball/status/1644426130970103810/video/1,photo,150.0,150.0,crop,1200.0,675.0,fit,680.0,383.0,fit,1984.0,1116.0,fit,1.6444261309701038e+18,1644426130970103810,34286487.0,34286487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.63e+18,Tue Mar 07 22:32:06 +0000 2023,0,False,False,en,4,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @UT_Mangler: This is a problem. 😡 https://t.co/gPIVLUIjx1,False,UT_Mangler,UT Mangler,2309398489.0,2309398489,3.0,14.0,,,,,,,1.6329223420693545e+18,1632922342069354496,37.0,60.0,http://pbs.twimg.com/media/FqlON_DXwAAVzOX.jpg,https://pbs.twimg.com/media/FqlON_DXwAAVzOX.jpg,https://t.co/gPIVLUIjx1,pic.twitter.com/gPIVLUIjx1,https://twitter.com/UT_Mangler/status/1632922349061263361/photo/1,photo,150.0,150.0,crop,1125.0,1023.0,fit,680.0,618.0,fit,1125.0,1023.0,fit,1.6329223490612634e+18,1632922349061263361,2309398489.0,2309398489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2e+18,Mon Nov 18 13:01:51 +0000 2019,382,False,False,en,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@tookishheart It's live now! Sorry about the wait!,False,tookishheart,liss,2286874259.0,2286874259,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.15e+18,Tue Jul 16 21:18:36 +0000 2019,0,False,False,en,53,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @Saxs: Had a great time with @dantdm @GrianMC and @ThatMumboJumbo this weekend. Their videos make me so happy! Thanks guys for being ama…,False,Saxs,Saxs,16266012.0,16266012,3.0,8.0,dantdm,ᴅᴀɴᴛᴅᴍ💎,730875392.0,730875392,32.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,GrianMC,Grian,1679822588.0,1679822588,40.0,48.0,ThatMumboJumbo,Mumbo Jumbo,542139063.0,542139063,53.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.65e+18,Tue Apr 11 03:20:37 +0000 2023,6,False,False,en,1,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Learning to Detect Touches on Cluttered Tables

abs: https://t.co/Df8IzleLc7 https://t.co/uQBC5nYfs0",False,,,,,,,,,,,,,1.6456278301417021e+18,1645627830141702146,77.0,100.0,http://pbs.twimg.com/ext_tw_video_thumb/1645627830141702146/pu/img/wJdt8mowZNAbydj4.jpg,https://pbs.twimg.com/ext_tw_video_thumb/1645627830141702146/pu/img/wJdt8mowZNAbydj4.jpg,https://t.co/uQBC5nYfs0,pic.twitter.com/uQBC5nYfs0,https://twitter.com/_akhaliq/status/1645627888157294593/video/1,photo,150.0,150.0,crop,1200.0,675.0,fit,680.0,383.0,fit,1280.0,720.0,fit,,,,,,,,,,,,,,,,,https://t.co/Df8IzleLc7,https://arxiv.org/abs/2304.04687,arxiv.org/abs/2304.04687,53.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.62e+18,Tue Feb 07 13:36:29 +0000 2023,0,False,False,en,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Businesses should always remember that it’s not always about how much data you have, but what you do with it.

To l… https://t.co/21b4sjC73g",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.co/21b4sjC73g,https://twitter.com/i/web/status/1622952440059551746,twitter.com/i/web/status/1…,117.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.61e+18,Wed Jan 11 05:00:03 +0000 2023,0,False,False,en,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Vehicles are at risk of breakdown at any time. With costly repairs involved, logistics companies employ predictive… https://t.co/Hv7LgTbnmA",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.co/Hv7LgTbnmA,https://twitter.com/i/web/status/1613038004398100480,twitter.com/i/web/status/1…,116.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6e+18,Wed Dec 07 07:20:09 +0000 2022,0,False,False,en,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Data analytics such as predictive analytics, and prescriptive analytics allow companies to manually test out a mult… https://t.co/tBvWIdThDk",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.co/tBvWIdThDk,https://twitter.com/i/web/status/1600389686736084992,twitter.com/i/web/status/1…,117.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.59e+18,Fri Nov 11 01:09:19 +0000 2022,7,False,False,en,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@ABCNews4 Unprecedented level of hubris to think humans have any control over the planet’s climate,False,ABCNews4,ABC News 4,15109904.0,15109904,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.52e+18,Sat May 07 19:51:39 +0000 2022,0,False,False,en,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@ChrisMuellerPGH Weegie Thompson,False,ChrisMuellerPGH,Chris Mueller,19201348.0,19201348,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
